2	13343	14040
2	15529	16013
2	64763	65460
2	86783	87480
3	9407	10104
3	32412	33109
2	75208	76212
2	124775	125779
1	1836537	1837799
1	2176106	2177368
1	2611115	2612377
1	4488447	4489709
2	15117	15438
2	14231	15117
2	56462	57716
2	96516	97606
1	3156214	3156682
1	3155319	3156214
1	4742389	4742857
1	4742857	4743752
1	1155420	1155696
1	1155696	1156612
1	3836023	3836299
1	3836299	3837215
1	4229968	4230244
1	4230244	4231160
1	5009319	5009595
1	5008403	5009319
3	12636	13844
2	188862	189911
2	189963	191042
2	133329	134298
1	1951247	1952227
2	65719	66699
2	73169	73873
2	123611	123904
2	123979	124206
2	54615	55961
