1	2169755	2171118
1	3872453	3873816
1	4708857	4710220
1	3162119	3163239
2	12586	13706
2	93557	94677
2	101796	102916
2	141165	141423
2	196395	197515
3	7179	8183
3	35722	35847
3	132647	133720
2	59486	59960
2	106356	107696
2	164291	165196
2	166607	167769
2	180757	181919
2	201009	201122
2	204640	204882
3	79720	80927
3	107881	109086
3	4876	5580
3	19922	20626
3	27469	28173
3	60534	61802
2	185668	187260
3	178226	179764
2	179614	180648
2	192019	193551
2	215908	216604
3	20661	20846
3	76483	77180
4	9407	10104
4	32412	33109
3	5637	7100
3	78337	79305
3	67473	68441
3	149072	150040
4	12636	13844
