1	543535	544727
1	768111	769303
1	2222064	2223044
1	2571647	2572909
1	3180744	3182107
1	3887223	3888586
1	3971717	3973080
1	4430579	4431771
1	4738947	4740058
1	4993669	4994621
1	5033958	5035321
2	14231	15438
2	15529	16013
2	54615	55961
2	56462	57716
2	64763	65460
2	65719	66699
2	73169	73873
2	75208	76212
2	82300	83562
2	85086	87329
2	87394	88098
2	88152	89200
2	90814	91518
2	93032	93736
2	99721	100425
2	102716	103420
2	106982	107284
3	1672	2720
3	2774	3478
3	3543	5786
3	7310	8572
3	10946	11350
3	14660	15664
3	17561	18265
3	25149	26117
3	28023	28720
3	42009	42209
3	51911	52213
3	52247	55213
3	55775	56479
3	58770	59474
3	60353	63370
3	65459	66163
4	9407	10104
4	12636	13844
4	32412	33109
