1	543533	544725
1	768109	769301
1	2221818	2222798
1	2571401	2572663
1	3097129	3098492
1	3803244	3804607
1	3887724	3889087
1	4346586	4347778
1	4654954	4656065
1	4909676	4910628
1	4949965	4951328
2	14231	15438
2	15529	16013
2	54615	55961
2	56462	57716
2	64763	65460
2	65719	66699
2	73169	73873
2	75208	76212
2	82300	83562
2	85086	87329
2	87394	88098
2	88152	89200
2	90814	91518
2	93033	93737
2	99722	100426
2	102717	103421
2	106983	107285
3	820	1524
3	3138	4186
3	4240	4944
3	5009	7252
3	8776	10038
3	12412	12816
3	16126	17130
3	19027	19731
3	26615	27583
3	28749	29446
3	42735	42935
3	52637	52939
3	52973	55939
3	56501	57205
3	59496	60200
3	61079	64096
3	66185	66889
4	9407	10104
4	12636	13844
4	32412	33109
