1	758518	758976
1	1468180	1468638
1	1713164	1713589
1	2863131	2863589
1	3041601	3042059
1	3173202	3173660
1	3815887	3816345
1	4283002	4283460
1	4560256	4560870
1	4483833	4485179
1	5055495	5056841
1	196063	197411
1	827481	828590
1	892435	893662
1	902147	903359
1	1291838	1291951
1	1358092	1359440
1	2628796	2630144
1	3179554	3180902
1	4462225	4462356
1	4463273	4463377
1	4473126	4473910
1	861488	862585
1	891868	892056
1	914160	915698
1	4458961	4460346
1	4379834	4381042
1	3587505	3588641
1	3589656	3590792
1	4020048	4021184
1	4023446	4024369
1	4009092	4010305
1	4924391	4925604
3	31635	32332
2	10022	10726
